"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","target"
5692,2013,10,24,3,21,28,5,14.1657,36,4.5,1021.4,-4.8,0,"NNE",1,200
22509,2015,9,24,20,23,23,2,27,94,18.2,1004.9,14.5,0,"ENE",2,600
20943,2015,7,21,14,175,175,2,20,176,29.9,996.4,23.6,0,"SW",1.2,500
751,2013,4,1,6,193,204,18,29,2,2.7,1005.1,2.7,0,"NE",0.7,2100
10528,2014,5,13,15,48,70,11,26,139,30,988.5,6,0,"WSW",1.2,700
28698,2016,6,8,17,132,132,2,28,208,29.4,1001.5,17.9,0,"WSW",3,1300
9748,2014,4,11,3,80,226,22,88,2,12.4,1011.4,-0.5,0,"ESE",0.8,1000
31909,2016,10,20,12,30,89,8,52,18,14.7,1019,4.9,0,"SW",1.4,1200
22297,2015,9,16,0,124,153,2,191,3,16.3,1014.6,14.5,0,"NE",0,1900
13820,2014,9,27,19,19,61,2,64,66,19.1,1009.8,10.4,0,"WSW",0.4,700
3050,2013,7,6,1,27,61,12,34,102,25.1,995.3,21,0,"NE",0.8,500
19977,2015,6,11,8,27,27,3,29,59,23.1,993.3,12.1,0,"WNW",1.8,400
2451,2013,6,11,2,24,28,3,11,27,17.4,1000.7,14.1,0,"N",0.1,300
15155,2014,11,22,10,12,30,13,68,12,6,1022,-12.1,0,"E",1.6,800
22918,2015,10,11,21,13,13,2,20,48,16.2,1016.8,-1.9,0,"WNW",1.8,400
9184,2014,3,18,15,81,274,45,49,85,13.7,1012.3,-4,0,"S",1.6,1100
25361,2016,1,21,16,146,146,38,80,20,-3.7,1027.8,-9.7,0,"E",1.8,2700
17669,2015,3,7,4,235,235,29,49,35,-0.9,1008.4,-9.1,0,"NW",1,1900
1433,2013,4,29,16,18,90,3,19,105,28.5,1002.9,-4.8,0,"NW",3.2,300
8365,2014,2,12,12,22,10,15,14,74,3.2,1029.3,-18.3,0,"NE",0.8,500
17856,2015,3,14,23,142,147,59,128,9,2.4,1013.1,-6.5,0,"E",0.8,2400
15050,2014,11,18,1,29,29,6,17,33,-1.7,1018,-7.8,0,"W",0.5,700
25586,2016,1,31,1,5,20,7,22,61,-6.7,1034.1,-24,0,"NE",1.9,500
5818,2013,10,29,9,13,13,7,37,19.4922,13.7,1020.6,-1.9,0,"WNW",2.1,600
28208,2016,5,19,7,112,143,32,59,85,20.8,1010.3,10.6,0,"SW",1.3,1000
23097,2015,10,19,8,35,54,4,46,2,11.6,1015.1,3.9,0,"SSE",0.6,700
9490,2014,3,31,9,140,231,27,111,10,18,1009.3,3.8,0,"E",2.2,2000
3696,2013,8,1,23,61,64,8,87,9,22.2,1000.1,21.7,0,"SSW",0.5,800
30509,2016,8,23,4,69,92,7,36,58,26,1004.3,20.3,0,"S",1.7,800
31478,2016,10,2,13,168,168,7,46,144,23,1008.4,12.6,0,"ENE",1.1,1100
27897,2016,5,6,8,10,54,2,17,74,16.7,1008.4,-1.9,0,"WNW",3.6,100
8127,2014,2,2,14,16,78,8,8,74,9.2,1008.6,-15.4,0,"NE",4.2,300
7359,2014,1,1,14,17,41,9,24,73,11.4,1009.9,-12.1,0,"NW",4.7,300
28905,2016,6,17,8,30,53,2,42,56,24.4,993.3,15.1,0,"ENE",2.1,600
1992,2013,5,22,23,37,87,6,58,42,20.1,1003.7,2.9,0,"NNE",0,500
2595,2013,6,17,2,134,19,17.136,48.0402,39,21.2,997.5,19.3,0,"ENE",0.7,2299
31890,2016,10,19,17,226,327,6,28,108,19.9,1005.8,14,0,"ESE",1.6,1700
20929,2015,7,21,0,145,145,3,33,131,24.3,1002.7,22.7,0.2,"SE",0.9,1300
10110,2014,4,26,5,46,38,14,30,35,12.3,1011.6,4,0,"NNE",1.6,500
15848,2014,12,21,7,4,5,7,27,36,-3.8,1023,-20.5,0,"NNW",1.9,400
12986,2014,8,24,1,15,24,2,43,62,21.8,1001.2,19.9,0,"WNW",1,700
23379,2015,10,31,2,8,20,8,28,33,2.5,1023.7,-3,0,"WNW",1.6,800
188,2013,3,8,19,118,216,39,46,107,9.4,997.3,-0.8,0,"ESE",2.7,1300
28222,2016,5,19,21,66,70,10,63,175,21.4,1008.3,11.1,0,"SW",1,700
31478,2016,10,2,13,157,157,2,19,178,23.4,1003.4,12.1,0,"SSE",2.4,1100
32214,2016,11,2,5,91,145,7,76,2,-0.6,1023.7,-4,0,"NE",0.6,1200
16591,2015,1,21,6,11,11,8,10,64,1,1020,-12.8,0,"N",3.1,400
1566,2013,5,5,5,94,111,23,44,58,13.5,1014.5,8.5,0,"NNE",0.8,800
24361,2015,12,11,0,22,22,10,52,25,1.5,1025.5,-9.2,0,"NNE",1.2,800
1443,2013,4,30,2,21,28,3,51,51,14.3,1008.7,-2.6,0,"WSW",0.8,300
4270,2013,8,25,21,38,87,1,39,109,27.2,995.1,15.9,0,"E",0.6,700
315,2013,3,14,2,74,75,12,71,68,1.3,1023.9,-4.6,0,"SSW",1.5,1300
17015,2015,2,7,22,5,32,3,21,64,-2,1032,-23.9,0,"NNE",2.8,300
21892,2015,8,30,3,29,29,4,18,60,21.2,1006.7,16.4,0,"ENE",1.8,800
34293,2017,1,27,20,204,298,53,65,21,-2.85,1017.5,-15,0,"NW",1.2,1500
9283,2014,3,22,18,8,35,2,20,107,15.6,1013.9,-0.6,0,"E",0,300
15345,2014,11,30,8,175,176,6,68,4,4.5,1020,-1.9,0,"NW",3.1,2900
8070,2014,1,31,5,157,199,101,53,10,-2.2,1015.6,-6.9,0,"NE",1.3,2100
17477,2015,2,27,4,6,6,7,17,47,-2,1024,-18.1,0,"E",2,300
28814,2016,6,13,13,42,42,2,42,81,19.7,999.7,17.7,0.2,"ENE",2,700
5454,2013,10,14,5,64,64,5.1408,52,1,12.5,1016.6,11.9,0,"NW",1.1,700
34582,2017,2,8,21,9,28,3,12,50,-2.5,1024.9,-22.4,0,"N",2.8,400
7148,2013,12,23,19,53,70,31,78,9,-3.9,1027.8,-8.9,0,"W",1.5,1100
2814,2013,6,26,5,141,101,4,49,2,21.2,992.8,20.7,0,"NE",1.3,2500
15734,2014,12,16,13,11,67,2,10,51,-1,1022,-21.8,0,"N",6.5,400
27363,2016,4,14,2,50,191,2,36,53,15.6,1006.6,-8.7,0,"ENE",1.5,300
32465,2016,11,12,16,92,142,16,56,49,12.4,1015.1,1.7,0,"SSE",1.7,1300
23423,2015,11,1,22,123,156,3,96,3,7.6,1017.3,2.3,0,"ENE",0.6,1500
28975,2016,6,20,6,66,66,6,38,111,24.3,999,18,0,"E",1.4,800
28948,2016,6,19,3,59,70,3,26,93,24.6,1002.1,16.6,0,"WSW",1.7,700
25378,2016,1,22,9,5,11,2,15,63,-11.1,1040.1,-28.7,0,"NW",4.7,500
28840,2016,6,14,15,20,20,2,31,92,18.5,994.1,15.4,0.2,"ESE",1.2,600
20966,2015,7,22,13,84,84,2,47,149,29,999.5,20.4,0,"E",1.7,1000
11861,2014,7,8,4,226,226,16,59,46,24.9,996.4,22,0,"ESE",0.9,1400
24319,2015,12,9,6,189,189,30,92,2,1.4,1020.3,0.5,0,"ENE",0.6,3300
18342,2015,4,4,5,35,35,2,40,52,8.6,1006.8,1.7,0,"S",1.5,500
8879,2014,3,5,22,68,108,24,104,14,4.2,1021.1,-21.9,0,"NE",1.3,3600
17444,2015,2,25,19,8,22,2,2,84,3,1014,-20.4,0,"NNW",0.9,300
11676,2014,6,30,11,76,137,24,65,155,32.6,1002.1,19.5,0,"NW",0.9,1400
14557,2014,10,28,12,51,80,19,42,40,12.2,1016.8,1.8,0,"S",2,1000
15135,2014,11,21,14,155,172,28,140,30,13,1010,-5.1,0,"SW",1.2,1600
28156,2016,5,17,3,37,91,2,40,42,16.3,1003.5,8.3,0,"NE",0.2,500
1807,2013,5,15,6,56,232,51,94,14,20.2,1009.7,5.8,0,"E",0.6,1300
7112,2013,12,22,7,55,52,63,86,6,-6.1,1025.6,-13.5,0,"N",0,1800
9292,2014,3,23,3,88,191,35,110,5,5.9,1019.5,-0.4,0,"N",0.2,1500
686,2013,3,29,13,56,113,52,72,50,9.8,1014.9,-6.1,0,"NW",0.4,1800
19599,2015,5,26,14,89,98,26,25,260,33.3,1000.8,11.2,0,"S",4.7,900
18971,2015,4,30,10,148,183,18,84,62,23.2,1008.6,15,0,"ESE",1.2,1600
9155,2014,3,17,10,213,814,55,100,2,16.6,1006.3,-5.2,0,"NNW",4.3,2200
20341,2015,6,26,12,92,92,2,7,139,26.7,992.2,19.8,0,"SSE",1.3,700
22154,2015,9,10,1,10,10,2,29,27,19.6,1018.2,12.1,0,"NE",1.5,400
11633,2014,6,28,16,14,14,3,20,122,37.2,993.9,9.7,0,"W",2.1,200
17119,2015,2,12,6,16,18,28,9,74,-1,1011,-13.9,0,"NNE",1.1,400
20442,2015,6,30,17,13,16,2,12,111,27.8,988.8,14.1,0,"SSW",3.7,300
33943,2017,1,13,6,11,8,9,35,65,-3.175,1019.5,-18,0,"NE",1.5,100
26252,2016,2,27,19,34,55,10,47,44,5.8,1015.9,-7.1,0,"NNE",1.8,700
869,2013,4,6,4,8,6,3,4,2,-0.2,1017.4,-5.8,0,"ESE",0,100
23043,2015,10,17,2,229,229,2,49,92,13.5,1008.3,10.7,0,"NNW",1.3,1800
27613,2016,4,24,12,93,143,17,56,72,19.2,1001.9,-0.3,0,"S",2.5,800
33843,2017,1,9,2,10,14,6,31,37,1.2,1022.7,-13,0,"NNW",3.2,400
17831,2015,3,13,22,52,115,12,80,12,4.2,1021.6,-5.1,0,"ESE",3,800
33166,2016,12,11,21,209,230,54,123,3,0.3,1018.4,-4.2,0,"E",0.3,3600
33345,2016,12,19,8,219,219,2,61,2,-3.7,1021.2,-6.6,0,"E",0.3,3800
12604,2014,8,8,3,54,54,4,53,50,21.3,1003.6,20.1,0,"NE",0.4,600
4954,2013,9,23,9,9,41,1,22,33,16.2,1010.2,7.4,0.1,"NE",1,300
35046,2017,2,28,5,24,25,3,22,44,2.6,1010.9,-9,0,"N",0.7,100
10208,2014,4,30,7,114,172,11,86,5,18.5,1004.3,10.3,0,"SSW",0.5,1100
16681,2015,1,25,0,76,76,5,48,18,-1,1021,-3.5,0,"SE",1.3,1300
18394,2015,4,6,9,18,23,2,9,75,6.4,1025,-12.7,0,"NE",2.3,300
12955,2014,8,22,18,65,123,5,97,61,27.3,1002.6,19.4,0,"SSW",1.3,1100
7058,2013,12,20,1,113,176,86,93,1,-9.2,1026.9,-12,0,"NE",1,3100
11370,2014,6,17,17,98,98,6,34,109,20.1,995.8,19.9,1.3,"ESE",0.7,800
32365,2016,11,8,12,25,26,9,33,34,9.9,1029.9,-6.5,0,"SW",2.9,500
14121,2014,10,10,8,290,290,2,88,2,15.1,1020.1,14.5,0,"E",1.2,2100
26571,2016,3,12,2,66,93,5,32,29,-1.6,1010.6,-14.8,0,"NNE",0.5,1100
4694,2013,9,12,13,142,193,66,48,172,24.7,1004.6,16.9,0,"W",2,1900
29341,2016,7,5,12,79,79,9,23,150,30.3,1007,16.7,0,"SE",2.3,900
9285,2014,3,22,20,28,71,5,82,34,16.5,1018.1,-6.6,0,"ESE",3.7,700
32942,2016,12,2,13,115,158,44,109,2,8.5,1019.1,-7.7,0,"S",1.5,2900
9691,2014,4,8,18,170,266,47,66,142,22.3,1004.3,8,0,"SSW",2.1,1200
20611,2015,7,7,18,63,80,6,21,227,31.4,1002.4,15,0,"S",2,800
28124,2016,5,15,19,13,67,2,25,77,21.1,1006.2,1.9,0,"ENE",0.4,300
28612,2016,6,5,3,95,105,11,39,67,20,1005.8,14.1,0,"NE",1.4,900
14388,2014,10,21,11,36,36,26,70,5,14.4,1019.7,-2.5,0,"SW",2.3,1200
27629,2016,4,25,4,60,91,8,20,78,18,1005.5,10.6,0,"S",1.2,600
34654,2017,2,11,21,175,257,57,118,8,-1.8,1021.6,-15.3,0,"SW",0.1,1400
20719,2015,7,12,6,129,136,3,66,8,24.5,998.8,21.2,0,"NE",1.3,1100
31019,2016,9,13,10,98,98,2,57,22,22.8,1013.6,18.3,0,"N",1,1100
413,2013,3,18,4,9,28,3,5,107,8.1,995.5,-8,0,"NW",5.1,200
7599,2014,1,11,14,76,93,67,87,11,4.7,1023.7,-19.8,0,"SSW",1.6,1500
20185,2015,6,20,0,47,57,4,98,2,17.8,1008.5,16.3,0,"ESE",0.4,1400
29782,2016,7,23,21,125,125,2,20,91,25.6,997.7,22.9,0.8,"ENE",2.8,900
31642,2016,10,9,9,16,24,2,24,2,8,1016.2,3.8,0,"SE",0.5,400
14525,2014,10,27,4,5,5,2,62,4,2.7,1028.3,-4.1,0,"NE",0.7,300
30070,2016,8,4,21,95,102,2,39,148,29.9,1004.1,23.8,0,"S",1.6,1500
8370,2014,2,12,17,118,117,53,75,14,1.1,1026.6,-11,0,"SW",2.1,1700
24573,2015,12,19,20,132,147,35,94,2,-1.8,1026.8,-5.6,0,"ENE",0.6,2100
17164,2015,2,14,3,216,221,65,131,15,0,1009,-9.2,0,"ENE",1.8,3700
181,2013,3,8,12,105,123,36,111,102,21.7,1001.1,-4.4,0,"SSW",2.9,1600
21739,2015,8,23,18,12,17,2,32,72,22.3,1002,21.1,0,"NNW",0.5,700
25577,2016,1,30,16,46,46,26,51,25,-3,1030.2,-22.3,0,"SSW",1.4,1200
59,2013,3,3,10,108,118,102,105,10,6.8,1016.7,-13.5,0,"SSW",1.1,2299
19431,2015,5,19,14,3,58,2,16,104,27.1,1001.4,-0.1,0,"NNE",3.6,300
10167,2014,4,28,14,38,56,5,17,143,25.3,1012.4,1.4,0,"ESE",2.5,400
1265,2013,4,22,16,200,218,103,40,62,15.2,1007.4,6.5,0,"SSE",2.9,1899
25032,2016,1,7,23,8,13,3,16,41,-5.3,1019.5,-18.7,0,"NE",1.3,400
11758,2014,7,3,21,167,167,2,39,121,25.7,995.5,24.5,0,"SSW",0,1300
371,2013,3,16,10,268,238,99,92,84,12.6,1020.2,0,0,"SW",2.8,2200
4474,2013,9,3,9,62,76,14,49,56,23.6,1013.8,18,0,"NNW",1.9,1100
30361,2016,8,17,0,31,31,2,35,77,26.7,999.9,19.6,0,"WSW",1.4,500
28070,2016,5,13,13,26,80,2,14,126,23.6,1012.1,0.6,0,"S",5.6,400
30602,2016,8,27,1,26,67,2,67,2,16.7,1008.5,13.2,0,"SW",0.2,800
16188,2015,1,4,11,148,184,75,125,7,4,1015,-14.3,0,"ENE",1.7,5100
24367,2015,12,11,6,15,15,6,53,6,-3.9,1025.6,-8.2,0,"NE",1.1,700
22810,2015,10,7,9,279,279,6,78,12,19.1,1009.8,16,0,"ENE",0.6,1800
33559,2016,12,28,6,151,151,7,60,13,-3.5,1026,-7.3,0,"E",0.5,1600
7891,2014,1,23,18,213,244,139,136,1,-1.9,1008.9,-10.2,0,"NE",0.9,3400
664,2013,3,28,15,6,6,3,5,107,14,1009.6,-15,0,"NW",3.2,200
7875,2014,1,23,2,325,354,143,133,8,-6.3,1015.8,-12.4,0,"NE",1.1,5400
34405,2017,2,1,12,10,11,7,12,66,2,1035,-23.6,0,"NNE",2.4,400
2023,2013,5,24,6,66,74,15,25,64,21.9,1003.3,13,0,"NW",1,1200
7190,2013,12,25,13,315,374,144,173,1,6.5,1018.4,-11.7,0,"N",2.4,6500
3739,2013,8,3,18,26,65,5,28,174,29.2,996.2,21.4,0,"SW",2.1,300
30256,2016,8,12,15,10,10,2,26,93,27.4,1001.3,23.4,0,"NNE",2,700
9326,2014,3,24,13,244,282,59,57,139,19.7,1002.5,0.2,0,"S",1.7,1900
25087,2016,1,10,6,23,23,15,53,9,-3,1020.3,-16.7,0,"NNE",2.6,1300
33929,2017,1,12,16,92,141,32,70,60,5.15,1014,-12,0,"SW",3.7,700
6467,2013,11,25,10,17,28,14,24,30,5.5,1015.7,-13.5,0,"NW",5,600
12710,2014,8,12,13,15,46,10,27,134,32.9,999.1,12.5,0,"W",1.3,300
27495,2016,4,19,14,90,102,31,62,49,14.7,1006.6,2.9,0,"E",2.8,1900
32348,2016,11,7,19,9,11,2,33,30,8,1028.7,-7.3,0,"NNE",1.1,500
34156,2017,1,22,3,12,21,12,38,35,-8.325,1031.75,-22.2,0,"NE",2,600
26629,2016,3,14,12,105,105,24,101,33,12.9,1017.8,-8.3,0,"ENE",1.1,1700
3793,2013,8,6,0,55,61,6,20,126,25.6,990.2,22.3,0,"WNW",1,800
14245,2014,10,15,12,4,99,2,12,69,21.1,1010.5,-1.5,0,"WNW",5.4,200
7834,2014,1,21,9,17,25,31,59,5,-0.4,1029.4,-18.1,0,"N",0.8,1000
13192,2014,9,1,15,100,100,2,32,125,26.4,1004.5,20.5,0,"SW",1.6,1400
25232,2016,1,16,7,126,140,48,73,2,-1.9,1013.1,-9.8,0,"S",1.2,2900
27085,2016,4,2,12,5,25,2,9,88,17.4,1016.1,-6.5,0,"NW",3.1,300
2191,2013,5,31,6,50,101,6,19,65,20.4,995.2,11.1,0,"NNW",0,700
30844,2016,9,6,3,22,33,2,69,2,20.4,1005.6,16.8,0,"NNE",1,400
20890,2015,7,19,9,83,83,2,68,4,22.2,1004.4,21.4,0.2,"NE",1.2,1300
2925,2013,6,30,20,306,255,8.568,93.6168,4,25.1,997,23.5,0,"ESE",0.8,2799
25468,2016,1,26,3,33,37,16,25,48,-1.9,1023.7,-22.5,0,"NNW",3.5,400
8324,2014,2,10,19,39,49,26,48,22,-5.1,1026.1,-13,0,"WSW",1.6,600
9479,2014,3,30,22,62,193,13,114,9,17.9,1008,0.5,0,"W",0.7,800
13981,2014,10,4,12,75,75,3,38,41,15.8,1014.5,12.7,0,"WNW",0.5,1000
30382,2016,8,17,21,83,83,2,42,87,24.1,1000.2,22.9,0.2,"ENE",0.3,800
33628,2016,12,31,3,195,203,33,133,6,-5.1,1022.1,-12.1,0,"NNE",0.8,4900
15805,2014,12,19,12,12,24,13,22,65,3,1017,-15.2,0,"NW",6.1,400
22797,2015,10,6,20,339,339,2,90,67,18.9,1011.2,16.5,0,"ENE",0.8,2800
606,2013,3,26,5,134,164,13,88,6,-0.7,1007.6,-5.3,0,"NNW",0,2100
24512,2015,12,17,7,9,14,2,55,9,-8.3,1030.2,-13.7,0,"N",0.7,900
10858,2014,5,27,9,88,276,2,2,106,30,986.6,-2.5,0,"W",9.3,100
29236,2016,7,1,3,19,59,2,35,41,23.2,996.7,15,0,"N",1.7,400
26165,2016,2,24,4,28,28,15,72,11,-6.3,1033.2,-17.1,0,"E",0.6,800
13001,2014,8,24,16,8,21,2,8,125,31,1002.3,12.4,0,"S",2,200
29274,2016,7,2,17,20,36,2,16,185,32.6,995.7,14.2,0,"SSW",2.9,300
26523,2016,3,10,2,9,37,3,14,44,0.5,1029.9,-22.5,0,"NW",3.5,300
23184,2015,10,22,23,47,73,2,56,2,9.9,1014.1,7.7,0,"NE",0,800
21636,2015,8,19,11,74,74,2,75,60,25,1007.7,20,0,"ENE",2.6,900
14965,2014,11,14,12,27,27,21,38,32,11.6,1012,-10,0,"ENE",2.5,700
23125,2015,10,20,12,74,131,20,78,5,13.6,1015.4,5.2,0,"E",2.2,1800
14160,2014,10,11,23,6,6,2,20,51,16,1024.4,5.9,0,"NW",2.8,200
34794,2017,2,17,17,43,82,10,27,81,5.2,1023.7,-17.3,0,"SW",2.9,700
26132,2016,2,22,19,22,51,9,11,73,3.3,1021.7,-16.4,0,"NNE",4.9,300
28369,2016,5,26,0,10,17,2,6,45,14.5,998.5,10.1,0,"NW",1.3,300
20505,2015,7,3,8,47,47,34,43,27,22.6,1004,12.8,0,"N",0.4,2100
33331,2016,12,18,18,246,265,26,136,5,0.8,1019.3,-6.8,0,"SW",0,3500
17584,2015,3,3,15,5,75,2,2,84,3.9,1013.9,-26.2,0,"N",5.2,300
28000,2016,5,10,15,25,56,2,6,154,27.6,997.6,4.6,0,"SSE",1.8,300
31406,2016,9,29,13,59,73,12,66,57,20.5,1014.8,3.7,0,"S",3.1,500
18808,2015,4,23,15,75,143,12,62,128,29.3,1007.3,0.9,0,"ENE",3.1,900
3089,2013,7,7,16,133,126,18,20,236,32.5,994,23.2,0,"S",1.3,1100
29170,2016,6,28,9,21,21,2,53,65,21.1,1000.3,17.3,0,"WSW",1.1,600
32799,2016,11,26,14,66,329,8,14,69,9.2,1009.1,-12,0,"NW",3.7,400
12905,2014,8,20,16,84,106,15,19,280,32,997.1,16.3,0,"SSW",1.6,900
21178,2015,7,31,9,16,16,2,24,58,23.7,1004.2,20.8,0,"NNE",1.6,600
30108,2016,8,6,11,98,98,2,25,143,32.1,1001.9,24.2,0,"SSW",1.5,1000
26910,2016,3,26,5,7,19,2,30,55,8.9,1021.9,-10.1,0,"NW",2.2,200
12125,2014,7,19,4,73,81,2,45,32,26.7,1002.1,24.2,0,"SSW",1.2,1000
21989,2015,9,3,4,21,22,2,31,5,20.9,1009.7,17.3,0,"NNE",1.2,600
18972,2015,4,30,11,148,150,12,32,113,23.5,1003.4,15,0,"SSE",2.2,1500
11100,2014,6,6,11,110,127,34,51,82,19.3,997.1,17.1,21.6,"NNE",1.9,2000
26493,2016,3,8,20,12,15,4,26,67,3,1026.9,-22,0,"NNW",3,300
4446,2013,9,2,5,33,25,1,5,31,17.3,1007.7,14.8,0,"NW",0.7,500
34125,2017,1,20,20,45,59,11,56,56,-3.825,1027,-20.7,0,"SW",1.5,900
19386,2015,5,17,17,151,231,18,60,144,24.8,990.5,17.3,0,"NE",1.7,1400
13429,2014,9,11,12,67,99,21,31,118,25,1004.9,15,0,"NE",1.5,1400
31437,2016,9,30,20,122,186,2,103,76,17.8,1004.5,10.7,0,"N",2.1,1300
2085,2013,5,26,20,67,66,11,39,38,18,1006.7,16.8,0.1,"ESE",2.6,1399
14889,2014,11,11,8,4,57,4,39,29,10,1015,-7.3,0,"NNW",4.3,400
5993,2013,11,5,16,236,542,45,139,3.4272,11.4,1012.8,5,0,"WSW",1,2200
9564,2014,4,3,11,10,75,5,19,87,17.3,1019.2,-16,0,"WNW",7,300
15322,2014,11,29,9,213,332,10,103,8,1,1017,-0.2,0,"E",1.4,4800
15957,2014,12,25,20,74,125,34,108,2,-2.4,1017,-10,0,"SSW",0.6,2100
22463,2015,9,22,22,35,35,2,44,45,18,1006.1,16.2,0,"NE",1.1,900
11996,2014,7,13,19,19,47,8,78,37,26.1,995.4,21.7,0,"SW",0,600
24844,2015,12,31,3,21,21,12,45,30,-3,1030.5,-10.3,0,"N",1.1,700
9558,2014,4,3,5,3,5,2,2,86,11.2,1016.8,-13.8,0,"NNW",2.6,100
31527,2016,10,4,14,34,61,3,54,8,16.8,1008.6,11.3,0,"NNW",2,1300
31927,2016,10,21,6,56,56,2,25,27,11.2,1016.4,7.3,0,"NW",1.1,700
8914,2014,3,7,9,60,84,36,45,22,3.3,1028.6,-17,0,"NE",3.1,1300
27131,2016,4,4,10,71,140,10,88,24,14.9,1010.5,-0.1,0,"WNW",1,600
21073,2015,7,27,0,105,159,6,106,49,27.7,1000.4,22.6,0,"ENE",1.4,1300
16506,2015,1,17,17,122,122,48,77,32,1,1020,-14.7,0,"WSW",1.1,1500
20876,2015,7,18,19,25,25,2,11,121,22.7,997.4,20.6,0,"WNW",2.7,800
8632,2014,2,23,15,221,276,159,89,11,3,1020.2,-3.4,0,"SW",1.1,4000
18063,2015,3,23,14,20,20,4,23,96,17.1,1023.3,-19.1,0,"SW",2.4,400
26480,2016,3,8,7,8,24,2,26,61,-2.1,1022.9,-26.1,0,"N",1.7,400
9053,2014,3,13,4,21,15,15,40,41,-0.2,1020.8,-18.4,0,"WSW",1.2,400
12941,2014,8,22,4,22,25,2,43,56,21.2,1003.7,17.8,0,"E",0.1,400
24064,2015,11,28,15,279,279,33,108,9,0.8,1022.8,-6.8,0,"ENE",1,2700
10031,2014,4,22,22,76,126,27,84,68,18.8,1007.6,5.3,0,"SSW",1,800
10635,2014,5,18,2,34,64,6,87,4,15.5,1003.8,11.5,0,"E",0.2,1100
4529,2013,9,5,16,9,15,6,28,99,26.3,1006.7,15.4,0,"S",1.6,300
2358,2013,6,7,5,202,167,4,66,4,20.7,1000.1,18.8,0,"NE",0.1,2299
28965,2016,6,19,20,40,64,6,46,144,32.7,998.4,10.7,0,"SSW",1.6,600
34927,2017,2,23,6,15,19,5,25,50,-1.8,1020.6,-11.9,0,"NNE",2.2,700
231,2013,3,10,14,22,27,16,18,79,11.2,1018.2,-14.5,0,"SW",3,400
19546,2015,5,24,9,125,182,12,30,116,24.1,999.2,13.6,0,"E",1.3,1100
11002,2014,6,2,9,20,20,2,52,51,22,1007.1,16,0,"NE",1.2,400
20258,2015,6,23,1,154,190,16,41,113,24.9,1002.6,18.1,0,"ESE",1.4,1500
18849,2015,4,25,8,78,195,12,115,11,18.1,1012.9,3.2,0,"ENE",1.8,1100
9394,2014,3,27,9,340,430,40,150,2,15.4,1008.6,10.6,0,"NNE",1.4,2400
12613,2014,8,8,12,91,91,16,86,107,31.8,1002.3,17.3,0,"SSW",2.1,1100
24015,2015,11,26,14,17,17,7,15,59,-1.6,1023,-16.6,0,"ESE",2,300
31182,2016,9,20,5,16,26,2,51,2,15.2,1017.2,10,0,"NNE",1.2,300
23749,2015,11,15,12,192,192,21,74,19,11.2,1016.4,5.3,0,"NE",1.8,2800
25817,2016,2,9,16,44,48,17,70,53,10.3,1010.1,-11.7,0,"E",2,1000
20724,2015,7,12,11,107,158,6,31,191,33.3,991.3,19.4,0,"S",1.8,800
27512,2016,4,20,7,101,104,8,65,7,10.4,1006.2,4.3,0,"NW",1,1100
12382,2014,7,29,21,110,142,2,31,161,29,993.7,21,0,"SSW",4,800
15923,2014,12,24,10,11,29,24,34,35,3.5,1024,-14.7,0,"E",2.2,600
20818,2015,7,16,9,39,39,2,31,95,22,1004.3,19.4,0,"NE",1.9,1000
663,2013,3,28,14,8,21,5,12,88,12.4,1013.1,-12,0,"WSW",5,400
31298,2016,9,25,1,203,213,2,89,3,21.475,1007,18.3,0,"NE",1.7,1800
33785,2017,1,6,16,187,187,26,135,5,4.2,1020.6,-3.3,0,"ENE",1.2,3900
15068,2014,11,18,19,105,125,37,95,2,6.6,1019,-6.4,0,"E",1,2200
25631,2016,2,1,22,20,32,26,66,12,-3,1028.9,-17.4,0,"E",0.7,700
5453,2013,10,14,4,62,64,3,41,1,13.4,1017.1,12.5,0.1,"ESE",0.5,1400
52,2013,3,3,3,60,63,41,74,7,-4,1014.1,-13.4,0,"NE",0.7,1600
30561,2016,8,25,8,7,28,2,4,62,25.3,1001.6,13.2,0,"NNE",7.4,300
18066,2015,3,23,17,9,27,4,13,90,19.4,1015.9,-19.2,0,"SW",2.3,300
16732,2015,1,27,3,15,29,16,21,57,-6,1034,-22,0,"N",3.2,400
31688,2016,10,11,7,132,132,3,51,3,8.5,1018,7.4,0,"NNE",1,1100
33668,2017,1,1,19,522,585,8,185,2,-1.3,1019.6,-4.1,0,"S",1.1,7100
4174,2013,8,21,21,96,156,28,52,94,23.5,1003.6,21,0,"SW",0.1,1100
12488,2014,8,3,7,137,160,2,43,87,29,994.4,26,0,"N",0.8,1300
14764,2014,11,6,3,3,5,2,9,67,10,1024,-8.2,0,"NNW",2.6,200
19649,2015,5,28,16,82,112,23,22,216,28.7,998.3,14.5,0,"SSW",3.6,1000
1527,2013,5,3,14,46,51,18,10,179,23,1006.7,4.5,0,"SW",2.7,800
3730,2013,8,3,9,20,43,3,85,47,29,1000.6,17.2,0,"NNE",1,500
26166,2016,2,24,5,40,40,21,68,2,-8,1031.4,-14.2,0,"N",0.9,1100
33113,2016,12,9,16,19,64,4,47,36,4.3,1023.9,-14.5,0,"ESE",0.8,600
30261,2016,8,12,20,28,70,2,59,26,27.5,998.2,22.9,0,"NNE",0.9,600
